,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
2833,2834,2834,Starlink-1776,Starlink-1776,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073N,46682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2834,2835,2835,Starlink-1777,Starlink-1777,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,11/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088A,47122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,2020,2020
2835,2836,2836,Starlink-1778,Starlink-1778,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073P,46683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2836,2837,2837,Starlink-1779,Starlink-1779,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,11/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088B,47123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,2020,2020
2837,2838,2838,Starlink-1780,Starlink-1780,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Q,46684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2838,2839,2839,Starlink-1781,Starlink-1781,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073R,46685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2839,2840,2840,Starlink-1783,Starlink-1783,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073S,46686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2840,2841,2841,Starlink-1784,Starlink-1784,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073T,46687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2841,2842,2842,Starlink-1785,Starlink-1785,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,11/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088C,47124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,2020,2020
2842,2843,2843,Starlink-1786,Starlink-1786,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073U,46688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2843,2844,2844,Starlink-1787,Starlink-1787,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,11/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088D,47125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,2020,2020
2844,2845,2845,Starlink-1788,Starlink-1788,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073V,46689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2845,2846,2846,Starlink-1789,Starlink-1789,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073W,46690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2846,2847,2847,Starlink-1790,Starlink-1790,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073X,46691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2847,2848,2848,Starlink-1791,Starlink-1791,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Y,46692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2848,2849,2849,Starlink-1792,Starlink-1792,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Z,46693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2849,2850,2850,Starlink-1793,Starlink-1793,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AA,46694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2850,2851,2851,Starlink-1794,Starlink-1794,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AB,46695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2851,2852,2852,Starlink-1795,Starlink-1795,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AC,46696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2852,2853,2853,Starlink-1796,Starlink-1796,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AD,46697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2853,2854,2854,Starlink-1797,Starlink-1797,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AE,46698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2854,2855,2855,Starlink-1798,Starlink-1798,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AS,46779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/24/20,2020,2020
2855,2856,2856,Starlink-1799,Starlink-1799,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AF,46699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2856,2857,2857,Starlink-1800,Starlink-1800,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AG,46700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2857,2858,2858,Starlink-1801,Starlink-1801,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AH,46701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2858,2859,2859,Starlink-1802,Starlink-1802,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AJ,46702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2859,2860,2860,Starlink-1803,Starlink-1803,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AK,46703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2860,2861,2861,Starlink-1804,Starlink-1804,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AL,46704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2861,2862,2862,Starlink-1805,Starlink-1805,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AM,46705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2862,2863,2863,Starlink-1807,Starlink-1807,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AN,46706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2863,2864,2864,Starlink-1808,Starlink-1808,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AP,46707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2864,2865,2865,Starlink-1809,Starlink-1809,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AQ,46708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2865,2866,2866,Starlink-1810,Starlink-1810,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AR,46709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2866,2867,2867,Starlink-1811,Starlink-1811,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AS,46710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2867,2868,2868,Starlink-1812,Starlink-1812,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,11/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088E,47126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,2020,2020
2868,2869,2869,Starlink-1813,Starlink-1813,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AT,46711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2869,2870,2870,Starlink-1814,Starlink-1814,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AU,46712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2870,2871,2871,Starlink-1815,Starlink-1815,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AV,46713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2871,2872,2872,Starlink-1816,Starlink-1816,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AW,46714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2872,2873,2873,Starlink-1817,Starlink-1817,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AX,46715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2873,2874,2874,Starlink-1818,Starlink-1818,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AY,46716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2874,2875,2875,Starlink-1820,Starlink-1820,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AZ,46717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2875,2876,2876,Starlink-1821,Starlink-1821,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BA,46718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2876,2877,2877,Starlink-1822,Starlink-1822,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BB,46719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2877,2878,2878,Starlink-1823,Starlink-1823,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BC,46720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2878,2879,2879,Starlink-1824,Starlink-1824,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BD,46721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2879,2880,2880,Starlink-1825,Starlink-1825,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BE,46722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2880,2881,2881,Starlink-1826,Starlink-1826,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BF,46723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2881,2882,2882,Starlink-1827,Starlink-1827,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BG,46724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2882,2883,2883,Starlink-1828,Starlink-1828,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BH,46725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2883,2884,2884,Starlink-1829,Starlink-1829,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BJ,46726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2884,2885,2885,Starlink-1830,Starlink-1830,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BK,46727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2885,2886,2886,Starlink-1831,Starlink-1831,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/18/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BL,46728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/18/20,2020,2020
2886,2887,2887,Starlink-1832,Starlink-1832,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AT,46780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/24/20,2020,2020
2887,2888,2888,Starlink-1833,Starlink-1833,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074W,46759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/24/20,2020,2020
2888,2889,2889,Starlink-1834,Starlink-1834,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AU,46781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/24/20,2020,2020
2889,2890,2890,Starlink-1835,Starlink-1835,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,10/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AV,46782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/24/20,2020,2020
2890,2891,2891,Starlink-1836,Starlink-1836,USA,USA,SpaceX,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,NA,NA,11/24/20,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088F,47127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,2020,2020
