,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
31,31,31,Aerocube 14A,Aerocube 14A,USA,USA,Aerospace Corporation,Military,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,459,474,0.0011,51.6,93.9,NA,NA,NA,1/31/20,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/31/20,2020,2020
32,32,32,Aerocube 14B,Aerocube 14B,USA,USA,Aerospace Corporation,Military,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,459,474,0.0011,51.6,93.9,NA,NA,NA,1/31/20,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/31/20,2020,2020
33,33,33,Aerocube 15A,Aerocube 15A,USA,USA,Aerospace Corporation,Military,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,458,474,0.00117,51.6,93.9,NA,NA,NA,1/31/20,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/31/20,2020,2020
34,34,34,Aerocube 5C,Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,500,802,0.0215,64.78,97.74,2,NA,NA,10/8/15,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/8/15,2015,2015
35,35,35,Aerocube 6A,Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Sun-Synchronous,0,614,700,0.00612,97.98,97.88,5,NA,NA,6/19/14,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/19/14,2014,2014
36,36,36,Aerocube 6B,Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Sun-Synchronous,0,614,700,0.00612,97.98,97.88,5,NA,NA,6/19/14,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/19/14,2014,2014
37,37,37,Aerocube 7A,Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,500,802,0.0215,64.6,97.4,2,NA,NA,10/8/15,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/8/15,2015,2015
38,38,38,Aerocube 7B,Aerocube 7B,USA,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,432,437,0.000367,53.6,93.2,2,NA,NA,11/12/17,NA,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071F,43042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/12/17,2017,2017
39,39,39,Aerocube 7C,Aerocube 7C,USA,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,432,437,0.000367,53.6,93.2,2,NA,NA,11/12/17,NA,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071G,43043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/12/17,2017,2017
40,40,40,Aerocube 8A,Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,356,700,0.0249,55,95.19,5,NA,NA,5/20/15,NA,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/15,2015,2015
